iter	RMSE
0	0.503252217
1	0.4849762859
2	0.4714202221
3	0.4576235531
4	0.4447626968
5	0.4351247597
6	0.4266299215
7	0.4184290349
8	0.4125247969
9	0.4065864836
10	0.4005881079
11	0.3952801602
12	0.3912906106
13	0.3877173922
14	0.384530612
15	0.3824786429
16	0.3800395987
17	0.3762358654
18	0.3726605212
19	0.3697823355
20	0.3668549278
21	0.3652066964
22	0.3631425657
23	0.3611317892
24	0.3596929399
25	0.3579965546
26	0.3566170996
27	0.3538828617
28	0.3518703418
29	0.3507674868
30	0.3495647493
31	0.3486128308
32	0.3475350442
33	0.3463763391
34	0.3455743761
35	0.3450107095
36	0.3444207078
37	0.3433081612
38	0.3424602964
39	0.3418494374
40	0.3410448503
41	0.3403878676
42	0.3395189782
43	0.3387434305
44	0.3379109927
45	0.3367610007
46	0.3360877029
47	0.3356666409
48	0.3350694281
49	0.3344766512
50	0.3335066594
51	0.3327832321
52	0.3319168138
53	0.3304518409
54	0.3299825528
55	0.3295935153
56	0.3291422439
57	0.3281888565
58	0.3275812128
59	0.3268290265
60	0.3261898782
61	0.3256884165
62	0.325208802
63	0.3247360094
64	0.3239003631
65	0.3233436977
66	0.3229151002
67	0.3223541657
68	0.3217589775
69	0.3213714955
70	0.3207608255
71	0.3203899554
72	0.3200607307
73	0.3192974704
74	0.3187589718
75	0.3182311876
76	0.3179158122
77	0.3174248138
78	0.3168759647
79	0.3163442495
80	0.3158804115
81	0.3153016673
82	0.314796683
83	0.3142343627
84	0.3136893318
85	0.3134037383
86	0.3125527769
87	0.3120437956
88	0.3116673033
89	0.3112415673
90	0.3106617182
91	0.3105380108
92	0.3099042301
93	0.3095478902
94	0.3089776312
95	0.3085547139
96	0.3079782319
97	0.3074802837
98	0.306893723
99	0.3063273599
100	0.3059894074
101	0.3050512348
102	0.3044497204
103	0.30404016
104	0.3037840501
105	0.303241455
106	0.3028040836
107	0.3020157746
108	0.3015054359
109	0.3011455348
110	0.3008763365
111	0.300300655
112	0.2997030143
113	0.2991297269
114	0.2986351014
115	0.2982786394
116	0.2976859706
117	0.2973211053
118	0.2970062828
119	0.2964564257
120	0.2956768849
121	0.2949522639
122	0.2943219517
123	0.2938468433
124	0.2932709079
125	0.2929817201
126	0.2926334062
127	0.2923638759
128	0.2916760857
129	0.2911498068
130	0.2906171471
131	0.290225734
132	0.2897946401
133	0.289665873
134	0.2891523352
135	0.2885516845
136	0.288262959
137	0.2881498938
138	0.2877289605
139	0.287380782
140	0.2869800118
141	0.2866579087
142	0.286279871
143	0.2855811486
144	0.2852474328
145	0.2850649141
146	0.2846388448
147	0.2842179341
148	0.283875976
149	0.2835898342
150	0.2834631047
151	0.2830128176
152	0.2826521044
153	0.2821396568
154	0.2818791861
155	0.2814171311
156	0.2810958897
157	0.2806830668
158	0.2803930033
159	0.2800837737
160	0.279974244
161	0.2794656393
162	0.2791173476
163	0.2784474489
164	0.2783266543
165	0.2780717453
166	0.2777407747
167	0.2770558178
168	0.2768231265
169	0.2763475938
170	0.2761206955
171	0.2756037464
172	0.2752524192
173	0.2749584818
174	0.2741591054
175	0.2736103834
176	0.272971869
177	0.2726602251
178	0.2724782844
179	0.2722869417
180	0.2721182961
181	0.2719890635
182	0.2715003429
183	0.2709856865
184	0.2706536798
185	0.2701337096
186	0.269767776
187	0.2695424618
188	0.2689723596
189	0.268670739
190	0.2682092796
191	0.2677890288
192	0.2673750394
193	0.2670961495
194	0.2666131435
195	0.266087748
196	0.2657509381
197	0.2656781224
198	0.2654173638
199	0.26513596
200	0.2648360393
201	0.2644828043
202	0.2640169706
203	0.2636612754
204	0.263421098
205	0.2630972592
206	0.2627199623
207	0.2625733879
208	0.2621900671
209	0.2618455267
210	0.261340722
211	0.2611048886
212	0.2608389118
213	0.2604796152
214	0.2599915981
215	0.2595893608
216	0.2591986987
217	0.2588321733
218	0.2584293644
219	0.2580812259
220	0.2578318
221	0.257717774
222	0.257314154
223	0.2569515562
224	0.2565534841
225	0.2560213492
226	0.2556407108
227	0.2554035633
228	0.2550675715
229	0.2548960238
230	0.2545388528
231	0.2542346651
232	0.2540023242
233	0.2538629379
234	0.253533947
235	0.2531923418
236	0.252822375
237	0.2527296233
238	0.2525765746
239	0.2521526297
240	0.2518587477
241	0.2515610974
242	0.2512333454
243	0.250984293
244	0.2507170393
245	0.2503631114
246	0.250081151
247	0.249543285
248	0.2491702627
249	0.2487230282
250	0.248395678
251	0.2480258641
252	0.2475828332
253	0.247187673
254	0.246932838
255	0.2466630501
256	0.2463137428
257	0.2461399914
258	0.2459905851
259	0.2458123055
260	0.2454542518
261	0.2450333148
262	0.2449217714
263	0.2445806073
264	0.2441466925
265	0.2435828934
266	0.243325809
267	0.2430698581
268	0.2427978212
269	0.2423077052
270	0.2418004064
271	0.2415055801
272	0.2412257191
273	0.2409224723
274	0.2405752832
275	0.2403084208
276	0.2399461
277	0.2396226249
278	0.2393245841
279	0.2390858711
280	0.2389517949
281	0.2385519056
282	0.2381472465
283	0.2378519976
284	0.2373953964
285	0.2372459228
286	0.2368822405
287	0.236513545
288	0.236237886
289	0.2358134399
290	0.2354386423
291	0.2351926224
292	0.2347593399
293	0.2343470324
294	0.2339856858
295	0.2335442363
296	0.2333142676
297	0.2330007658
298	0.2327628019
299	0.2323882126
