iter	Passed	Remaining
0	13	4026
1	19	2923
2	26	2642
3	32	2404
4	44	2636
5	50	2461
6	56	2355
7	60	2223
8	70	2291
9	78	2267
10	93	2451
11	100	2406
12	107	2383
13	114	2348
14	124	2362
15	131	2330
16	137	2292
17	142	2226
18	148	2197
19	155	2177
20	160	2133
21	164	2084
22	169	2039
23	173	1995
24	179	1975
25	184	1941
26	188	1904
27	194	1890
28	199	1865
29	203	1833
30	210	1826
31	215	1804
32	219	1778
33	226	1775
34	234	1772
35	241	1768
36	245	1744
37	249	1720
38	256	1716
39	261	1698
40	265	1677
41	270	1658
42	279	1669
43	287	1672
44	296	1680
45	301	1664
46	345	1857
47	350	1838
48	357	1832
49	361	1809
50	366	1789
51	372	1778
52	377	1757
53	389	1774
54	396	1764
55	405	1765
56	409	1747
57	414	1731
58	422	1726
59	427	1711
60	433	1699
61	437	1681
62	442	1663
63	447	1650
64	453	1637
65	457	1621
66	462	1609
67	471	1607
68	476	1595
69	483	1587
70	488	1575
71	556	1762
72	588	1828
73	603	1842
74	624	1874
75	659	1943
76	677	1962
77	688	1958
78	696	1948
79	706	1941
80	712	1926
81	720	1915
82	758	1984
83	766	1971
84	773	1957
85	785	1953
86	791	1938
87	797	1921
88	805	1909
89	810	1891
90	819	1881
91	824	1863
92	832	1853
93	838	1836
94	846	1827
95	852	1811
96	861	1802
97	873	1800
98	961	1952
99	1015	2030
100	1057	2084
101	1115	2165
102	1122	2147
103	1132	2134
104	1140	2118
105	1156	2115
106	1169	2108
107	1177	2092
108	1185	2077
109	1194	2063
110	1201	2045
111	1210	2031
112	1220	2019
113	1228	2004
114	1235	1986
115	1240	1968
116	1247	1951
117	1255	1936
118	1264	1922
119	1271	1906
120	1276	1888
121	1283	1872
122	1293	1862
123	1302	1848
124	1308	1831
125	1340	1850
126	1345	1832
127	1349	1813
128	1357	1799
129	1365	1785
130	1372	1770
131	1376	1752
132	1380	1733
133	1388	1719
134	1392	1701
135	1396	1684
136	1403	1670
137	1408	1652
138	1412	1635
139	1418	1620
140	1422	1604
141	1426	1587
142	1432	1572
143	1437	1557
144	1442	1541
145	1452	1532
146	1463	1522
147	1467	1507
148	1471	1490
149	1477	1477
150	1486	1466
151	1491	1452
152	1498	1439
153	1503	1425
154	1509	1412
155	1514	1397
156	1518	1382
157	1522	1368
158	1527	1354
159	1532	1341
160	1542	1331
161	1547	1317
162	1550	1303
163	1600	1327
164	1619	1325
165	1631	1316
166	1654	1317
167	1667	1310
168	1679	1301
169	1699	1299
170	1705	1286
171	1731	1288
172	1748	1283
173	1761	1275
174	1767	1262
175	1775	1250
176	1779	1236
177	1783	1222
178	1788	1209
179	1791	1194
180	1795	1180
181	1799	1166
182	1804	1153
183	1808	1140
184	1812	1126
185	1816	1113
186	1821	1100
187	1824	1087
188	1828	1073
189	1833	1061
190	1838	1049
191	1842	1036
192	1846	1023
193	1852	1012
194	1857	1000
195	1861	987
196	1866	976
197	1872	964
198	1877	953
199	1887	943
200	1901	936
201	1944	943
202	1955	934
203	1973	928
204	1980	917
205	1987	906
206	1997	897
207	2002	885
208	2011	875
209	2017	864
210	2023	853
211	2029	842
212	2035	831
213	2043	821
214	2049	810
215	2055	799
216	2060	788
217	2068	777
218	2073	766
219	2080	756
220	2094	748
221	2104	739
222	2113	729
223	2122	719
224	2138	712
225	2159	707
226	2172	698
227	2181	689
228	2188	678
229	2198	669
230	2207	659
231	2216	649
232	2227	640
233	2233	630
234	2246	621
235	2259	612
236	2266	602
237	2277	593
238	2289	584
239	2301	575
240	2310	565
241	2320	556
242	2329	546
243	2338	536
244	2356	529
245	2364	518
246	2372	509
247	2378	498
248	2386	488
249	2393	478
250	2402	468
251	2408	458
252	2417	449
253	2423	438
254	2432	429
255	2439	419
256	2449	409
257	2456	399
258	2466	390
259	2474	380
260	2484	371
261	2499	362
262	2557	359
263	2587	352
264	2595	342
265	2602	332
266	2610	322
267	2618	312
268	2626	302
269	2633	292
270	2639	282
271	2646	272
272	2654	262
273	2663	252
274	2671	242
275	2679	232
276	2687	223
277	2694	213
278	2710	203
279	2720	194
280	2727	184
281	2776	177
282	2790	167
283	2827	159
284	2839	149
285	2862	140
286	2894	131
287	2907	121
288	2927	111
289	2952	101
290	2974	91
291	2978	81
292	2982	71
293	2988	60
294	2993	50
295	2997	40
296	3007	30
297	3011	20
298	3015	10
299	3020	0
